Leadership Position,Total Positions,Positions Held by Women,Approximate Percentage
Central Military Commission (CMC),7,0,0
"Heads of major offices, departments, commissions, bureaus, and agencies of the CMC*",15,0,0
Theater Commands Leaders,5,0,0
Theater CommandsPolitical Commissars,5,0,0
Chiefs of Staff / Deputy Commanders,5,0,0
People’s Liberation Army (PLA) Service Branches Commanders,5,0,0
People’s Liberation Army (PLA) Service Branches Political Commissars,5,0,0
