Country,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Guyana,Americas,South America,,"Janet Jagan (December 19, 1997 to August 11, 1999)",Janet Jagan,1,31.82,48,38.46,28,-1,-1,-1,-1,37.1,51
Haiti,Americas,Caribbean,,"Claudette Werleigh (November 7, 1995 to February 27, 1996), Michele Pierre-Louis (September 5, 2008 to November 11, 2009)","Claudette Werleigh, Michele Pierre-Louis",2,25,74,0,188,8.02,95,-1,-1,11,164
Honduras,Americas,Central America,, ,,0,28,68,21.09,109,-1,-1,27.9,54,26.1,84
Hungary,Europe,Eastern Europe,, ,,0,21.43,91,12.56,159,26.84,49,30.51,45,24.5,92
Iceland,Europe,Northern Europe,Katrin Jakobsdottir,"Vigdis Finnbogadottir (August 1, 1980 to July 31, 1996), Johanna Sigurdardottir (February 1, 2009 to May 23, 2013), Katrin Jakobsdottir (November 30, 2017 to Incumbent)","Vigdis Finnbogadottir, Johanna Sigurdardottir, Katrín Jakobsdottir (current)",3,40,25,39.68,21,44.61,6,47,6,69.4,3
India,Asia and the Pacific,South Asia,,"Indira Gandhi (January 24, 1966 to April 24, 1977), Indira Gandhi (January 15, 1980 to October 31, 1984), Pratibha Patil (July 25, 2007 to July 25, 2012)","Indira Gandhi, Pratibha Patil",2,9.09,160,13.41,157,-1,-1,44.37,11,35.9,58
Indonesia,Asia and the Pacific,South Asia,,"Megawati Sukarnoputri (July 23, 2001 to October 20, 2004)",Megawati Sukarnoputri,1,17.14,113,21.04,109,-1,-1,14.37,100,17.2,131
Iran,Middle East and North Africa,Middle East,, ,,0,6.67,166,5.8,182,9.32,88,3.2,127,5.4,186
Iraq,Middle East and North Africa,Middle East,, ,,0,9.09,160,26.44,76,28.77,45,25.69,71,24.2,95
Ireland,Europe,Western Europe,,"Mary Robinson (December 3, 1990 to September 12, 1997), Mary McAleese (November 11, 1997 to November 10, 2011)","Mary Robinson, Mary McAleese",2,28.57,66,27.27,68,30.51,42,23.92,77,38.1,47
Israel,Middle East and North Africa,Middle East,,"Golda Meir (March 17, 1969 to June 3, 1974)",Golda Meir,1,25,74,26.67,73,-1,-1,17.13,91,24.5,92
Italy,Europe,Western Europe,, ,,0,36.36,36,35.26,35,-1,-1,31.78,39,39.6,44
Ivory Coast,Sub-Saharan Africa,West Africa,, ,,0,12.77,138,13.56,156,12.43,82,14.95,98,12.4,156
Jamaica,Americas,Caribbean,,"Portia Simpson-Miller (March 30, 2006 to September 11, 2007), Portia Simpson-Miller (January 5, 2012 to March 3, 2016)",Portia Simpson-Miller,1,16.67,114,30.95,54,24.46,53,18.42,86,25.6,85
Japan,Asia and the Pacific,East Asia,, ,,0,10,151,14.37,150,20.19,63,12.87,105,13.6,145
Jordan,Middle East and North Africa,Middle East,, ,,0,9.38,158,11.79,162,-1,-1,31.85,38,17.6,128
Kazakhstan,Russia and Central Asia,Central Asia,, ,,0,9.52,157,24.36,89,28.85,44,22.19,79,22.3,104
Kenya,Sub-Saharan Africa,East Africa,, ,,0,30.43,61,23.02,95,-1,-1,33.54,34,31.1,68
Kiribati,Asia and the Pacific,Australasia and Pacific,, ,,0,7.14,164,6.67,177,-1,-1,-1,-1,4.9,188
Kosovo,Europe,Southeastern Europe,,"Atifete Jahjaga (April 7, 2011 to April 7, 2016)",Atifete Jahjaga,1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2
Kuwait,Middle East and North Africa,Middle East,, ,,0,6.67,166,1.59,186,8.35,94,-2,-2,4.5,189
Kyrgyzstan,Russia and Central Asia,Central Asia,,"Roza Otunbayeva (April 7, 2010 to December 1, 2011)",Roza Otunbayeva,1,10.53,144,16.67,137,-1,-1,-1,-1,11.3,162
Laos,Asia and the Pacific,South Asia,, ,,0,10.34,148,27.52,66,-1,-1,32.22,37,24.3,94
Latvia,Europe,Northern Europe,,"Vaira Vike-Freiberga (July 8, 1999 to July 8, 2007), Laimdota Straujuma (January 22, 2014 to February 11, 2016)","Vaira Vike-Freiberga, Laimdota Straujuma",2,23.08,81,29,61,31.76,37,34,31,36.8,54
Lebanon,Middle East and North Africa,Middle East,, ,,0,31.58,50,4.69,184,11.37,84,4,123,13.6,145
Lesotho,Sub-Saharan Africa,Southern Africa,, ,,0,22.22,85,23.03,95,31.37,39,39.02,22,33.6,63
Liberia,Sub-Saharan Africa,West Africa,,"Ellen Johnson Sirleaf (January 16, 2006 to January 22, 2018)",Ellen Johnson Sirleaf,1,22.22,85,8.74,170,16.5,70,-2,-2,19.2,121
Libya,Middle East and North Africa,North Africa,, ,,0,5.56,172,15.96,142,8.87,89,-1,-1,8.7,178
Liechtenstein,Europe,Western Europe,, ,,0,40,25,12,161,-1,-1,39.13,20,36.2,57
Lithuania,Europe,Northern Europe,Ingrida _imonyt_,"Kazimira Prunskiene (March 17, 1990 to January 10, 1991), Dalia Grybauskaite (July 12, 2009 to July 12, 2019), Ingrida Simonyte (December 11, 2020 to Incumbent)","Kazimira Prunskiene, Dalia Grybauskait_, Ingrida _imonyt_ (current)",3,42.86,20,27.66,65,33.3,32,29.36,47,44.4,29
