Country,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Poland,Europe,Eastern Europe,,"Hanna Suchocka (July 11, 1992 to October 25, 1993), Ewa Kopacz (September 22, 2014 to November 16, 2015), Beata Szydlo (November 16, 2015 to December 11, 2017)","Hanna Suchocka, Ewa Kopacz, Beata Szyd_o",3,4.76,174,27.5,67,40.77,17,26.93,60,31,69
Portugal,Europe,Western Europe,,"Maria de Lourdes Pintasilgo (August 1, 1979 to January 3, 1980)",Maria de Lourdes Pintasilgo,1,42.11,22,40,20,46.92,3,-1,-1,57.1,16
Qatar,Middle East and North Africa,Middle East,, ,,0,7.14,164,9.76,168,-1,-1,-2,-2,6.2,184
Republic of Congo,Sub-Saharan Africa,Central Africa,, ,,0,21.21,92,13.64,154,-1,-1,-1,-1,14.2,142
South Korea,Asia and the Pacific,East Asia,,"Park Geun-hye (February 25, 2013 to December 9, 2016)",Park Geun-hye,1,27.78,69,19,125,26.92,48,18.59,84,25.4,87
Romania,Europe,Southeastern Europe,,"Viorica Dancila (January 29, 2018 to November 4, 2019)",Viorica Dancila,1,5,173,18.49,128,-1,-1,12.51,108,11.2,163
Russia,Russia and Central Asia,Russia,, ,,0,9.68,156,16.13,141,-1,-1,-1,-1,10,170
Rwanda,Sub-Saharan Africa,East Africa,,"Agathe Uwilingiyimana (July 18, 1993 to April 7, 1994)",Agathe Uwilingiyimana,1,54.84,1,55.66,1,-1,-1,43.62,13,69.6,2
Saint Kitts and Nevis,Americas,Caribbean,, ,,0,18.18,105,26.67,73,8.7,92,-2,-2,17,132
Saint Lucia,Americas,Caribbean,, ,,0,28.57,66,20.69,114,15.38,73,-2,-2,21.1,110
Saint Vincent and the Grenadines,Americas,Caribbean,, ,,0,0,182,17.39,134,15.15,74,-2,-2,9.8,173
Samoa,Asia and the Pacific,Australasia and Pacific,, ,,0,9.09,160,10,166,14.04,78,-2,-2,9.4,175
San Marino,Europe,Western Europe,, ,,0,10,151,33.33,43,40.07,21,-2,-2,32,66
Sao Tome and Principe,Sub-Saharan Africa,West Africa,,"Maria das Neves (October 3, 2002 to September 18, 2004), Maria do Carmo Silveira (June 8, 2005 to April 21, 2006)","Maria das Neves, Maria do Carmo Silveira",2,33.33,40,23.64,92,-1,-1,-1,-1,28.3,80
Saudi Arabia,Middle East and North Africa,Middle East,, ,,0,0,182,19.87,120,-1,-1,1.14,129,6.5,183
Senegal,Sub-Saharan Africa,West Africa,,"Mame Madior Boye (March 3, 2001 to November 4, 2002), Aminata Toure (September 1, 2013 to July 8, 2014)","Mame Madior Boye, Aminata Toure",2,21.88,89,43.03,14,-1,-1,47.56,5,49.4,23
Serbia,Europe,Southeastern Europe,Ana Brnabic,"Ana Brnabic (June 29, 2017 to Incumbent)",Ana Brnabic (current),1,43.48,19,39.2,24,-1,-1,31.21,43,48,26
Seychelles,Sub-Saharan Africa,East Africa,, ,,0,33.33,40,24.24,91,-1,-1,-2,-2,27.3,82
Sierra Leone,Sub-Saharan Africa,West Africa,, ,,0,13.79,131,12.33,160,12.58,81,18.2,87,13.3,150
Singapore,Asia and the Pacific,South Asia,Halimah Yacob,"Halimah Yacob (September 14, 2017 to Incumbent)",Halimah Yacob (current),1,15.79,118,29.47,58,20.83,62,-2,-2,22.9,100
Slovakia,Europe,Eastern Europe,Zuzana Caputova,"Iveta Radicova (July 8, 2010 to April 4, 2012), Zuzana Caputova (June 15, 2019 to Incumbent)","Iveta Radicova, Zuzana Caputova (current)",2,20,97,22.67,99,23.1,55,25.91,70,24.8,90
Slovenia,Europe,Southeastern Europe,,"Alenka Bratusek (March 20, 2013 to September 18, 2014)",Alenka Bratusek,1,18.75,101,21.54,105,44.19,7,33.65,33,36.5,55
Solomon Islands,Asia and the Pacific,Australasia and Pacific,, ,,0,10.53,144,8.16,174,7.81,96,-1,-1,7.3,180
Somalia,Sub-Saharan Africa,East Africa,, ,,0,18.52,104,24.32,90,-1,-1,-2,-2,18.3,126
South Africa,Sub-Saharan Africa,Southern Africa,, ,,0,48.28,14,45.43,12,-1,-1,40.73,17,61.3,11
South Sudan,Sub-Saharan Africa,East Africa,, ,,0,33.33,40,26.56,75,-1,-1,-1,-1,28.7,77
Spain,Europe,Western Europe,, ,,0,50,1,42.67,16,-1,-1,38.49,24,59.3,14
Sri Lanka,Asia and the Pacific,South Asia,,"Sirimavo Bandaranaike (July 21, 1960 to March 27, 1965), Sirimavo Bandaranaike (May 29, 1970 to July 23, 1977), Chandrika Kumaratunga (November 12, 1994 to November 19, 2005)","Sirimavo Bandaranaike, Chandrika Kumaratunga",2,3.7,177,5.33,183,-1,-1,10.89,110,16.2,137
Sudan,Sub-Saharan Africa,East Africa,, ,,0,20,97,-2,-2,-2,-2,-2,-2,12.5,155
Suriname,Americas,South America,, ,,0,33.33,40,29.41,59,42.04,12,35.59,26,43.9,32
Sweden,Europe,Northern Europe,, ,,0,57.14,1,46.99,8,43.5,8,43.84,12,68.7,4
Switzerland,Europe,Western Europe,,"Ruth Dreifuss (January 1, 1999 to December 31, 1999), Micheline Calmy-Rey (January 1, 2007 to December 31, 2007), Doris Leuthard (January 1, 2010 to December 31, 2010), Micheline Calmy-Rey (January 1, 2011 to December 31, 2011), Eveline Widmer-Schlumpf (January 1, 2012 to December 31, 2012), Simonetta Sommaruga (January 1, 2015 to December 31, 2015), Doris Leuthard (January 1, 2017 to December 31, 2017), Simonetta Sommaruga (January 1, 2020 to December 31, 2020)","Ruth Dreifuss, Micheline Calmy-Rey, Doris Leuthard, Eveline Widmer-Schlumpf, Simonetta Sommaruga",5,42.86,20,39.02,26,40.32,19,31.3,42,52.8,20
Syria,Middle East and North Africa,Middle East,, ,,0,10.34,148,11.2,163,12.08,83,7.09,120,9.1,176
Tajikistan,Russia and Central Asia,Central Asia,, ,,0,5.88,170,23.4,93,19.92,64,-1,-1,15.5,139
Thailand,Asia and the Pacific,South Asia,,"Yingluck Shinawatra (July 3, 2011 to May 7, 2014)",Yingluck Shinawatra,1,0,182,13.94,152,22.27,57,17.35,90,14,143
Togo,Sub-Saharan Africa,West Africa,Victoire Tomegah Dogbe,"Victoire Tomegah Dogbe (September 28, 2020 to Incumbent)",Victoire Tomegah Dogbe (current),1,31.03,56,18.68,127,-1,-1,-2,-2,22.9,100
Tonga,Asia and the Pacific,Australasia and Pacific,, ,,0,5.88,170,7.41,175,17.44,68,-2,-2,8.9,177
Trinidad and Tobago,Americas,Caribbean,Paula-Mae Weekes,"Kamla Persad-Bissessar (May 26, 2010 to September 9, 2015), Paula-Mae Weekes (March 19, 2018 to Incumbent)","Kamla Persad-Bissessar, Paula-Mae Weekes (current)",2,33.33,40,32.88,46,-1,-1,-1,-1,37.1,51
Tunisia,Middle East and North Africa,North Africa,, ,,0,29.17,65,26.27,78,-1,-1,48.49,3,42.7,35
Turkey,Europe,Southeastern Europe,,"Tansu Ciller (June 13, 1993 to March 6, 1996)",Tansu Ciller,1,11.76,140,17.66,132,21.52,60,10.14,114,15.4,140
Turkmenistan,Russia and Central Asia,Central Asia,, ,,0,3.7,177,25,84,-1,-1,21.93,80,16.3,136
Tuvalu,Asia and the Pacific,Australasia and Pacific,, ,,0,0,182,6.25,178,6.25,99,10.42,113,5,187
Uganda,Sub-Saharan Africa,East Africa,, ,,0,34.48,39,34.86,37,-1,-1,45.69,7,47.6,28
Ukraine,Europe,Eastern Europe,,"Yulia Tymoshenko (January 24, 2005 to September 6, 2005), Yulia Tymoshenko (December 18, 2007 to March 3, 2010)",Yulia Tymoshenko,1,13.64,132,20.8,112,22.54,56,-1,-1,18.8,124
United Arab Emirates,Middle East and North Africa,Middle East,, ,,0,27.27,71,50,1,36.61,24,-2,-2,48.8,24
United Kingdom,Europe,Western Europe,,"Margaret Thatcher (May 4, 1979 to November 28, 1990), Theresa May (July 13, 2016 to July 24, 2019)","Margaret Thatcher, Theresa May",2,23.81,79,30.52,55,33.77,31,34.25,30,35.7,60
Tanzania,Sub-Saharan Africa,Southern Africa,Samia Hassan Suluhu,"Samia Suluhu Hassan (March 18, 2021 to Incumbent)",Samia Hassan Suluhu (current),1,18.18,105,36.72,33,-1,-1,30.06,46,30.8,70
United States,Americas,North America,, ,,0,46.15,16,26.93,71,-1,-1,-1,-1,40.9,43
Uruguay,Americas,South America,, ,,0,14.29,128,26.15,79,-1,-1,26.13,67,21.9,108
Uzbekistan,Russia and Central Asia,Central Asia,, ,,0,3.45,180,28.74,62,41.33,15,-1,-1,28.6,78
Vanuatu,Asia and the Pacific,Australasia and Pacific,, ,,0,0,182,0,188,-1,-1,9.45,116,2.6,191
Venezuela,Americas,South America,, ,,0,31.03,56,22.16,102,37.3,23,-1,-1,33.3,64
Vietnam,Asia and the Pacific,South Asia,, ,,0,0,182,26.72,72,38.97,22,26.79,62,27.4,81
Yemen,Middle East and North Africa,Middle East,, ,,0,0,182,0.97,187,1.04,103,0.52,130,0.5,193
Zambia,Sub-Saharan Africa,Southern Africa,, ,,0,32.26,46,16.77,136,16.28,71,7.14,119,19,123
Zimbabwe,Sub-Saharan Africa,Southern Africa,, ,,0,20.83,94,34.57,39,14.71,76,12,109,22,107
