Leadership Position,Total Positions,Positions Held by Women,Approximate Percentage
Politburo Standing Committee,7,0,-
Politburo,25,1,4%
Central Committee,371,30,8%
Full Members in Central Comittee,203,10,5%
Alternate Members in Central Committee,168,20,12%
Central  Commission  for  Discipline Inspection,133,9,7%
Provincial-Level Party Secretaries,31,1,3%
